taxa,lfc_clr,pvalue,rank,padj,sig
Escherichia coli,2.902477631290571,1.454641317311529e-59,1,5.3821728740526575e-58,True
Fusobacterium nucleatum,2.824713438380591,1.9597884378633945e-52,2,3.6256086100472795e-51,True
Enterobacter cloacae,2.349970909642975,6.205124950391045e-49,3,7.652987438815622e-48,True
Haemophilus parainfluenzae,2.416964552327267,4.26675223200053e-47,4,3.9467458146004904e-46,True
Klebsiella pneumoniae,2.477220193638502,1.796109234140952e-46,5,1.3291208332643047e-45,True
Peptostreptococcus anaerobius,1.8773667899021327,1.5246126178188181e-38,6,9.401777809882712e-38,True
Veillonella parvula,1.1452633068703502,1.504595709107368e-18,7,7.952863033853232e-18,True
Butyrivibrio crossotus,-1.1575185453703956,5.131694884934797e-17,8,2.3734088842823435e-16,True
Coprococcus comes,-1.2518312616870264,1.1387146944136908e-15,9,4.681382632589618e-15,True
Clostridium leptum,-1.2465715412697196,1.777209173188397e-15,10,6.575673940797069e-15,True
Anaerostipes caccae,-1.2259340683283961,7.987370904691649e-15,11,2.686661122487191e-14,True
Prevotella copri,-1.040326559987401,2.9593590948464677e-14,12,9.124690542443276e-14,True
Faecalibacterium,-1.479185501879263,4.5682576664263655e-14,13,1.3001964127521195e-13,True
Subdoligranulum variabile,-1.086843034501682,8.590095912219303e-14,14,2.270239633943673e-13,True
Ruminococcus torques,1.0808031634389996,1.0606338207086176e-13,15,2.6162300910812573e-13,True
Ruminococcus gnavus,0.9561413620023312,2.3805233790273635e-13,16,5.504960314000778e-13,True
Roseburia intestinalis,-0.9227035846310235,5.197763816884179e-13,17,1.1312780072042036e-12,True
Streptococcus salivarius,0.9488174632035338,9.319098681563765e-13,18,1.9155925067658848e-12,True
Oscillospira guilliermondii,-1.1132563425953161,3.508932591677204e-12,19,6.8331845206345555e-12,True
Megamonas hypermegale,-1.0806156802929,4.251036131863851e-12,20,7.864416843948125e-12,True
Bacteroides uniformis,-1.1249925018612756,3.1047331046824506e-11,21,5.4702440415833655e-11,True
Blautia obeum,-1.1600154461179866,1.6005845777118394e-10,22,2.691892244333548e-10,True
Bacteroides ovatus,-0.9200392982990924,1.0779171405438442e-09,23,1.7340406173966188e-09,True
Bifidobacterium adolescentis,0.9328776648358925,1.2706794144021029e-09,24,1.958964097203242e-09,True
Bifidobacterium longum,0.7331565338172322,1.9590878090172872e-08,25,2.8994499573455852e-08,True
Phascolarctobacterium faecium,-0.8070708460496872,5.5569034954080565e-08,26,7.907901128080696e-08,True
Lachnospiraceae,-0.856344831394886,6.763125657452292e-08,27,9.267987012064252e-08,True
Dialister invisus,-0.6100444192969381,5.464579699007847e-07,28,7.221051745117511e-07,True
Eubacterium hallii,-0.6731667575141062,2.1014322894991595e-06,29,2.681137748671341e-06,True
Bacteroides thetaiotaomicron,-0.7402038942742042,3.324446967784088e-06,30,4.1001512602670415e-06,True
Collinsella aerofaciens,0.6267436228776049,6.7858858764446674e-06,31,8.099283142853313e-06,True
Bacteroides vulgatus,-0.7727682387629263,1.3602804764713688e-05,32,1.57282430092002e-05,True
Akkermansia muciniphila,-0.518264092514521,1.4883564783335022e-05,33,1.6687633241921086e-05,True
Alistipes putredinis,-0.5959457008454933,1.733445848016319e-05,34,1.8863969522530532e-05,True
Dorea longicatena,-0.534698514035613,0.00011881570839062743,35,0.00012560517744152042,True
Parabacteroides distasonis,-0.4447510172470004,0.0025433258882692237,36,0.0026139738296100355,True
Bacteroides fragilis,0.09057504652887319,0.8167165085558539,37,0.8167165085558539,False
