feature,gini,permutation
SeqDepth,0.00682559147065614,0.07711419753086418
N_OTUs,0.00027155461144251193,0.029583333333333295
Chao1,0.001233627154205881,0.029274691358024657
Simpson,0.0074034108696569515,0.027947530864197503
Shannon,0.00878013741418206,0.023765432098765405
Bacteroides_ovatus,0.008620720086768063,0.015123456790123436
Akkermansia_mucini,0.01114795376987797,0.008688271604938262
Anaerostipes_hadru,0.01188163147820842,0.007839506172839515
Lactobacillus_reut,0.016100900597633326,0.006203703703703673
Fusicatenibacter,0.02112247898574496,0.005586419753086389
Eubacterium_siraeu,0.030240201087768023,0.004459876543209848
Eubacterium_hallii,0.035971587961129856,0.004212962962962951
Ruthenibacterium,0.021245597419094025,0.0042129629629629115
Dorea_formicigener,0.007422096767932437,0.003503086419753043
Peptostreptococcus,0.029996082034953454,0.0033950617283950123
Clostridium_leptum,0.011788803301512284,0.0031327160493826688
Collinsella_aerofa,0.015834241276657682,0.003009259259259203
Bifidobacterium_ad,0.017632405502227534,0.0027160493827159946
Bifidobacterium_lo,0.01471710443253079,0.0024845679012345224
Fusobacterium_nucl,0.10700726248787097,0.0021604938271604836
Helicobacter,0.06552439986970529,0.0021141975308641412
Sutterella,0.06251304564309029,0.001990740740740724
Pseudomonas,0.07648951294408812,0.0019444444444444264
Escherichia_Shigel,0.1664027701972536,0.0018981481481481022
Bacteroides_thetai,0.00958481581293215,0.0015432098765431456
Muribaculaceae,0.00884713968501903,0.0014660493827160148
Alistipes_putredin,0.01496799636490004,0.0010802469135802028
Bacteroides_fragil,0.010251389413080387,0.0010030864197530388
Prevotella_copri,0.014006517155633806,0.0009567901234567544
Bacteroides_vulgat,0.007463830070942447,0.000802469135802415
Bacteroides_unifor,0.010657729369795822,0.0007098765432098442
Streptococcus_sali,0.039020677522504287,0.00061728395061724
Erysipelatoclostri,0.015382335391912869,0.0005401234567900914
Ruminococcus_gnavu,0.01872627138655765,0.0005092592592592337
Lachnospiraceae_NK,0.008445489960259874,0.000231481481481457
Subdoligranulum_va,0.012300212354020127,0.00021604938271602592
Butyrivibrio_fibri,0.009177232166724154,0.0001234567901234307
Coprococcus_eutact,0.00923229660572374,9.259259259258634e-05
Ruminococcus_bromi,0.010515746261090293,7.71604938271131e-05
Blautia_obeum,0.016935432379556897,0.0
Roseburia_intestin,0.012122111541869943,-6.172839506176641e-05
Faecalibacterium_p,0.01618965919328579,-0.00024691358024691467
